freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5, band 6, band 7, band 8, band 9, band 10, band 11, band 12, band 13, band 14, band 15, band 16
freqs:, 17, 0.65, 0.5, 0.15, 1.04403, 0.494595, 0.502912, 0.513182, 0.525979, 0.60482, 0.664096, 0.667349, 0.735097, 0.840476, 0.855943, 0.871572, 0.89223, 0.922378, 0.930348, 0.935664, 0.975798
freqs:, 18, 0.675, 0.5, 0.175, 1.05948, 0.494992, 0.50566, 0.51378, 0.53141, 0.595554, 0.660694, 0.662639, 0.741381, 0.8519, 0.852353, 0.867406, 0.892228, 0.920609, 0.933703, 0.934088, 0.971957
freqs:, 19, 0.7, 0.5, 0.2, 1.07703, 0.495307, 0.50827, 0.513903, 0.536852, 0.587337, 0.657917, 0.659095, 0.746245, 0.849722, 0.86291, 0.86474, 0.892225, 0.910499, 0.936184, 0.940501, 0.967156
freqs:, 20, 0.725, 0.5, 0.225, 1.09659, 0.495509, 0.510543, 0.513425, 0.54136, 0.58115, 0.656063, 0.656932, 0.749345, 0.848116, 0.861677, 0.875601, 0.892211, 0.8992, 0.937606, 0.947803, 0.961424
freqs:, 21, 0.75, 0.5, 0.25, 1.11803, 0.49558, 0.512241, 0.512354, 0.54325, 0.578699, 0.655402, 0.656214, 0.750416, 0.847575, 0.860919, 0.887381, 0.887447, 0.892321, 0.938077, 0.954695, 0.955105
freqs:, 22, 0.7375, 0.475, 0.2875, 1.07645, 0.487172, 0.507626, 0.518388, 0.543627, 0.579716, 0.656499, 0.660941, 0.7483, 0.849676, 0.859752, 0.878831, 0.890987, 0.899846, 0.931488, 0.953629, 0.964328
freqs:, 23, 0.725, 0.45, 0.325, 1.04163, 0.475305, 0.49801, 0.526511, 0.543044, 0.580096, 0.658187, 0.674601, 0.741524, 0.852494, 0.85862, 0.877342, 0.887865, 0.912723, 0.92052, 0.956703, 0.976545
freqs:, 24, 0.7125, 0.425, 0.3625, 1.01427, 0.465601, 0.48797, 0.532583, 0.542096, 0.580127, 0.659991, 0.692091, 0.730751, 0.850388, 0.864578, 0.878575, 0.885027, 0.910016, 0.926237, 0.956095, 0.9744
freqs:, 25, 0.7, 0.4, 0.4, 0.994987, 0.458992, 0.479598, 0.536101, 0.541775, 0.581775, 0.661886, 0.703882, 0.72255, 0.849109, 0.866662, 0.880342, 0.885484, 0.906769, 0.932814, 0.951024, 0.975503
freqs:, 26, 0.6875, 0.375, 0.4375, 0.984251, 0.455777, 0.4742, 0.536291, 0.54378, 0.584594, 0.664317, 0.694326, 0.73155, 0.847464, 0.866655, 0.877808, 0.889798, 0.912172, 0.924378, 0.95639, 0.977323
freqs:, 27, 0.675, 0.35, 0.475, 0.982344, 0.45581, 0.472718, 0.535624, 0.546272, 0.586295, 0.668121, 0.680195, 0.740687, 0.845634, 0.867692, 0.874848, 0.895578, 0.910428, 0.921188, 0.962957, 0.97349
freqs:, 28, 0.6625, 0.325, 0.5125, 0.989318, 0.458549, 0.475784, 0.535269, 0.547296, 0.58485, 0.668598, 0.674475, 0.742992, 0.846147, 0.866157, 0.876123, 0.896729, 0.905773, 0.923128, 0.963133, 0.972959
freqs:, 29, 0.65, 0.3, 0.55, 1.00499, 0.463368, 0.483353, 0.534076, 0.545166, 0.581293, 0.661691, 0.683466, 0.737912, 0.849169, 0.864142, 0.878006, 0.888368, 0.914513, 0.918984, 0.959287, 0.976939
freqs:, 30, 0.6375, 0.275, 0.5875, 1.02896, 0.469597, 0.494331, 0.5289, 0.53953, 0.580154, 0.659225, 0.694229, 0.727505, 0.850685, 0.864258, 0.878372, 0.883861, 0.907621, 0.930088, 0.954907, 0.971731
freqs:, 31, 0.625, 0.25, 0.625, 1.06066, 0.475673, 0.504509, 0.519848, 0.533818, 0.583885, 0.660093, 0.701212, 0.718112, 0.84772, 0.865793, 0.877738, 0.883001, 0.903183, 0.938252, 0.954541, 0.964692
freqs:, 32, 0.5625, 0.225, 0.5625, 0.954594, 0.467869, 0.479394, 0.535758, 0.539182, 0.592426, 0.665861, 0.700457, 0.715535, 0.841946, 0.868062, 0.87572, 0.883605, 0.905618, 0.936917, 0.959104, 0.964206
freqs:, 33, 0.5, 0.2, 0.5, 0.848528, 0.437201, 0.439962, 0.551027, 0.564308, 0.604456, 0.67541, 0.700576, 0.71316, 0.834797, 0.872072, 0.872752, 0.883704, 0.911869, 0.929876, 0.961277, 0.969037
freqs:, 34, 0.4375, 0.175, 0.4375, 0.742462, 0.39483, 0.394966, 0.571567, 0.587636, 0.618377, 0.685286, 0.701568, 0.711273, 0.828492, 0.867254, 0.870975, 0.892084, 0.914523, 0.919049, 0.959617, 0.975171
freqs:, 35, 0.375, 0.15, 0.375, 0.636396, 0.345613, 0.346112, 0.593816, 0.608883, 0.633329, 0.694076, 0.703348, 0.710015, 0.823705, 0.861934, 0.865252, 0.901858, 0.905412, 0.908324, 0.966409, 0.98288
freqs:, 36, 0.3125, 0.125, 0.3125, 0.53033, 0.292779, 0.293283, 0.61639, 0.628242, 0.648419, 0.701475, 0.705882, 0.709511, 0.8204, 0.856487, 0.858574, 0.888138, 0.888784, 0.919053, 0.974522, 0.98664
freqs:, 37, 0.25, 0.1, 0.25, 0.424264, 0.23722, 0.237574, 0.638281, 0.645975, 0.662487, 0.707002, 0.709687, 0.709992, 0.81827, 0.85099, 0.851437, 0.870171, 0.87134, 0.931084, 0.97378, 0.980794
freqs:, 38, 0.1875, 0.075, 0.1875, 0.318198, 0.179605, 0.179811, 0.658287, 0.661958, 0.674182, 0.710896, 0.711872, 0.714613, 0.816947, 0.843014, 0.844294, 0.853385, 0.856178, 0.942037, 0.968876, 0.973423
freqs:, 39, 0.125, 0.05, 0.125, 0.212132, 0.120521, 0.120623, 0.674595, 0.675314, 0.682314, 0.715021, 0.715441, 0.718855, 0.816123, 0.831278, 0.831744, 0.845283, 0.846843, 0.951293, 0.963974, 0.967442
freqs:, 40, 0.0625, 0.025, 0.0625, 0.106066, 0.0604915, 0.060531, 0.684361, 0.68496, 0.686719, 0.719475, 0.719665, 0.721684, 0.81563, 0.819977, 0.820135, 0.842114, 0.842471, 0.957561, 0.960602, 0.963833
freqs:, 41, 0, 0, 0, 0, 0, 0, 0.687269, 0.688349, 0.688359, 0.721684, 0.721688, 0.722722, 0.81526, 0.815551, 0.815553, 0.841108, 0.841112, 0.959407, 0.959444, 0.963023
freqs:, 42, 0.05, 0, 0, 0.0866025, 0.0493596, 0.0494371, 0.685316, 0.686376, 0.686913, 0.720049, 0.720828, 0.721701, 0.817154, 0.817198, 0.818029, 0.841945, 0.84214, 0.959269, 0.959743, 0.962885
freqs:, 43, 0.1, 0, 0, 0.173205, 0.0984431, 0.0985988, 0.67875, 0.679804, 0.683064, 0.716533, 0.717463, 0.720847, 0.820993, 0.821616, 0.825078, 0.844819, 0.845588, 0.958725, 0.960451, 0.962678
freqs:, 44, 0.15, 0, 0, 0.259808, 0.146962, 0.147197, 0.666747, 0.667841, 0.677702, 0.713487, 0.714453, 0.71971, 0.824675, 0.826074, 0.835781, 0.85065, 0.852081, 0.957724, 0.960187, 0.963444
freqs:, 45, 0.2, 0, 0, 0.34641, 0.194598, 0.194913, 0.649792, 0.650923, 0.671712, 0.711741, 0.712731, 0.718325, 0.827033, 0.828897, 0.849136, 0.859664, 0.861436, 0.956097, 0.958555, 0.965113
freqs:, 46, 0.25, 0, 0, 0.433013, 0.240977, 0.241372, 0.628998, 0.630144, 0.665809, 0.711003, 0.712017, 0.716835, 0.828168, 0.830206, 0.864274, 0.870866, 0.872668, 0.953664, 0.955936, 0.96683
freqs:, 47, 0.3, 0, 0, 0.519615, 0.285604, 0.286081, 0.605309, 0.606447, 0.660495, 0.710875, 0.711913, 0.71539, 0.828488, 0.830575, 0.880396, 0.883242, 0.884842, 0.95041, 0.952462, 0.968229
freqs:, 48, 0.35, 0, 0, 0.606218, 0.327718, 0.328274, 0.579606, 0.580718, 0.656103, 0.711068, 0.712127, 0.714126, 0.828335, 0.830432, 0.895218, 0.89721, 0.897554, 0.946594, 0.948437, 0.969178
freqs:, 49, 0.4, 0, 0, 0.69282, 0.365831, 0.366459, 0.553327, 0.554402, 0.652843, 0.711372, 0.712425, 0.713169, 0.827992, 0.830091, 0.907237, 0.908918, 0.913456, 0.942617, 0.944265, 0.969711
freqs:, 50, 0.45, 0, 0, 0.779423, 0.396191, 0.396875, 0.530123, 0.531161, 0.650843, 0.711627, 0.712409, 0.712833, 0.827685, 0.829787, 0.916969, 0.918542, 0.926939, 0.938885, 0.940345, 0.969948
freqs:, 51, 0.5, 0, 0, 0.866025, 0.409224, 0.40993, 0.519486, 0.520508, 0.65017, 0.711724, 0.712238, 0.712895, 0.827566, 0.829673, 0.921337, 0.922896, 0.932945, 0.936853, 0.938216, 0.970012
freqs:, 52, 0.4875, 0.0375, 0.075, 0.786607, 0.39951, 0.40055, 0.530335, 0.534325, 0.644854, 0.708524, 0.710868, 0.715564, 0.82948, 0.832315, 0.911569, 0.919376, 0.926692, 0.931128, 0.943048, 0.97794
freqs:, 53, 0.475, 0.075, 0.15, 0.724569, 0.379885, 0.383468, 0.553833, 0.564186, 0.632264, 0.697829, 0.706725, 0.722914, 0.832765, 0.841802, 0.889016, 0.908953, 0.920602, 0.92377, 0.951956, 0.988875
freqs:, 54, 0.4625, 0.1125, 0.225, 0.684653, 0.364426, 0.369388, 0.578059, 0.594613, 0.618403, 0.683685, 0.701399, 0.729333, 0.83799, 0.851908, 0.869148, 0.897755, 0.912346, 0.921992, 0.961588, 0.991079
freqs:, 55, 0.45, 0.15, 0.3, 0.67082, 0.359333, 0.364064, 0.594031, 0.598246, 0.62159, 0.677107, 0.696491, 0.730381, 0.838539, 0.850249, 0.8704, 0.893402, 0.906638, 0.920186, 0.969219, 0.984299
freqs:, 56, 0.4375, 0.1875, 0.375, 0.684653, 0.366796, 0.369484, 0.58226, 0.599932, 0.620397, 0.692014, 0.692976, 0.722003, 0.83333, 0.857663, 0.867762, 0.898815, 0.908276, 0.917487, 0.965605, 0.984721
freqs:, 57, 0.425, 0.225, 0.45, 0.724569, 0.384785, 0.386149, 0.569103, 0.588076, 0.615143, 0.690916, 0.701401, 0.717346, 0.836668, 0.860773, 0.866548, 0.898574, 0.915048, 0.919174, 0.962896, 0.987771
freqs:, 58, 0.4125, 0.2625, 0.525, 0.786607, 0.407059, 0.414616, 0.55745, 0.573325, 0.605428, 0.681739, 0.690545, 0.733202, 0.841385, 0.860127, 0.873275, 0.894987, 0.914072, 0.926961, 0.96291, 0.982066
freqs:, 59, 0.4, 0.3, 0.6, 0.866025, 0.432261, 0.448144, 0.547209, 0.561173, 0.590178, 0.665052, 0.692751, 0.738313, 0.844231, 0.864155, 0.875937, 0.902595, 0.911461, 0.917012, 0.960844, 0.979567
freqs:, 60, 0.3875, 0.3375, 0.675, 0.958514, 0.456377, 0.48105, 0.536483, 0.548808, 0.577445, 0.657521, 0.697777, 0.730649, 0.849721, 0.865262, 0.878722, 0.893169, 0.906874, 0.923329, 0.95312, 0.979383
freqs:, 61, 0.375, 0.375, 0.75, 1.06066, 0.475657, 0.504513, 0.519845, 0.533837, 0.583856, 0.660064, 0.701238, 0.71817, 0.847763, 0.86578, 0.877768, 0.882921, 0.903165, 0.938231, 0.954526, 0.964658
